LEGEND,name,professors,description,deptLevel,distArea,rating,primaryDept
NULL,Fixed Income: Models and Applications , Yacine Aït-Sahalia , This course will deal with no-arbitrage models of contracts based on interest rates including bonds  forward and future contracts  swaps  options and other derivatives. We will develop the theory of arbitrage-free pricing of financial assets in discrete and continuous time  as well as many special models that can be used to price and hedge fixed income securities. , ECO 466 , SA ,-1,ECO
NULL,Institutional Finance  Trading  and Markets , Stephan Luck , This course covers important theoretical concepts and recent developments in asset pricing under asymmetric information  financial intermediation  behavioral finance and market microstructure. Topics include market efficiency  liquidity crises  asset price bubbles  herding  risk management  market design and financial regulation. The course examines these concepts theoretically as well as via a simulation software  whereby classic decision-making settings are realistically revisited in a competitive classroom environment. , ECO 467 ,,4.001666666666666,ECO
NULL,Chinese Financial and Monetary Systems , Wei Xiong , With its rapid economic growth in the past three decades  China already has the world's second largest economy. Meanwhile its financial markets are also being quickly liberalized and integrated with the rest of the world. As the current trend continues  there are growing interests to learn and understand the workings of China's financial and monetary systems. This course aims to serve this objective with a particular emphasis on understanding the role provided by the financial system in facilitating China's economic development  in addition to the investment opportunities and risk presented by the system to the outside world. , ECO 494 , SA ,3.8966666666666665,ECO
NULL,Microeconomic Theory I , Faruk R. Gul , First term of a two-term sequence in microeconomic theory. Topics include consumer and producer theory  choice under uncertainty and an introduction to game theory. , ECO 501 ,,3.698333333333333,ECO
NULL,Macroeconomic Theory I , Gregor Jarosch   Esteban A. Rossi-Hansberg , First term of a two-term sequence in macroeconomics. Topics include consumption  saving  and investment; real interest rates and asset prices; long-term economic growth; money and inflation; and econometric methods for macroeconomics. , ECO 503 ,,3.8233333333333337,ECO
NULL,Directed Research , Christopher A. Sims , Under the supervision of a faculty member  students carryout research on a directed topic and present results. Students must identify a supervising faculty member and submit a written plan for research and evaluation which must be approved by the supervising faculty member and director of graduate studies. , ECO 506 ,,-1,ECO
NULL,Topics in Empirical Macroeconomics , Giovanni L. Violante , This course is geared towards (i) understanding how finance and the macro economy interact with each other  and (ii) introducing micro-empirical techniques and data sets for answering traditional macro questions. The focus of the class is empirical but we begin each topic with a discussion of its theoretical foundation. , ECO 507 , ii ,4.279999999999999,ECO
NULL,Advanced Economic Theory I , David Dillenberger , Topics vary from year to year reflecting  among other things  current developments and the instructor's interests. Topics covered in past years have included expected and nonexpected utility theory  intertemporal general equilibrium theory  evolutionary game theory  dynamic games  contract theory  theory of organizations  and bounded rationality. , ECO 511 ,,4.446,ECO
NULL,Advanced Econometrics: Time Series Models , Mikkel Plagborg-Moller   Christopher A. Sims , Concepts and methods of time series analysis and their applications to economics. Time series models to be studied include simultaneous stochastic equations  VAR  ARIMA  and state-space models. Methods to analyze trends  second-moment properties via the auto covariance function and the spectral density function  methods of estimation and hypothesis testing and of model selection will be presented. Kalman filter and applications as well as unit roots  cointegration  ARCH  and structural breaks models are also studied. , ECO 513 ,,4.3,ECO
NULL,Game Theory , Pietro Ortoleva   Leeat Yariv , This course will provide a broad treatment of game theory and its applications  particularly in economics. Coverage will include such topics as: common knowledge and rationality  refinements of Nash equilibrium  auctions  bargaining  mechanism design  dynamic games  and reputation. This follows up on the introduction to game theory provided in the microeconomic sequence. , ECO 514 ,,4.268000000000001,ECO
NULL,Econometric Theory I , Bo E. Honoré   Michal Kolesár , A first-year course in the first-year econometrics sequence: it is divided into two parts. The first gives students the necessary background in probability theory and statistics. Topics include definitions and axioms of probability  moments  some univariate distributions  the multivariate normal distribution  sampling distributions  introduction to asymptotic theory  estimation and testing. The second part introduces the linear regression model and develops associated tools. Properties of the ordinary least squares estimator will be studied in detail and a number of tests developed. , ECO 517 ,,4.37,ECO
NULL,Economics and Politics , Wolfgang Pesendorfer , Focused on analytical models of political institutions  this course is organized around canonical models and their applications. These include: voting models  menu auctions  models of reputation and cheap talk games. These models are used to explain patterns of participation in elections  institutions of congress  lobbying  payments to special interest groups and other observed phenomena. , ECO 520 POL 577 ,,3.8840000000000003,ECO
NULL,Advanced Macroeconomic Theory I , Christopher A. Sims   Arlene Wong , Topics vary from year to year  reflecting current developments and the instructor's interests. Topics covered in past years have included methods of numerical analysis and econometric testing of equilibrium business cycle models  the role of monetary and fiscal policy in inflation determination  the nature of optimal monetary policy  dynamic games and time consistency in macroeconomic policy formation  central banking  and the theories of price stickiness. , ECO 521 ,,3.5200000000000005,ECO
NULL,Public Finance I , Stefania Albanesi   Owen M. Zidar , This course provides a microeconomic examination of the role of government in the economy. Topics will include the theory and measurement of excess burden  optimal tax theory  the analysis of tax incidence  and an examination of the effects of taxation on behavior. , ECO 523 ,,4.236,ECO
NULL,Asset Pricing , Yacine Aït-Sahalia   Motohiro Yogo , Introduction to asset pricing covering theory in both continuous and discrete time to study dynamic portfolio choice; derivative pricing; the term structure of interest rates; and intertemporal asset-pricing and consumption-based models. Pre-requisites: All required courses in micro  macro and econometrics at the first-year PhD level. , ECO 525 FIN 525 ,,3.2439999999999998,ECO
NULL,Financial and Monetary Economics , Markus K. Brunnermeier , The Great Recession led to a transformational rethinking of Monetary Economics. This course covers the interaction between monetary policy and macro-prudential policy as well as spillover analysis and the implications for the international financial architecture. Goals are to learn about new research trends and contrast them with the established New Keynesian framework. The course introduces new advanced tools  including formal modeling  economic dynamical systems in continuous time  strategic interactions  asymmetric information  and modern welfare analysis. , ECO 529 ,,5.0,ECO
NULL,Economics of Labor , Leah P. Boustan   Will S. Dobbie , An examination of the economics of the labor market  especially the forces determining the supply of and demand for labor  the level of unemployment  labor mobility  the structure of relative wages  and the general level of wages. , ECO 531 ,,4.318,ECO
NULL,Industrial Organization and Public Policy , Nicholas W. Buchholz   Jakub Kastl , Methods for empirical and theoretical analysis of markets composed of productive enterprises and their customers are studied. Analyses are applied to modern market structures and practices  and public policy towards them. Topics include the roles of technology and information  the structure of firms  modes of interfirm competition  determination of price  quality  and R & D investment  and criteria for government intervention. , ECO 541 ,,4.238,ECO
NULL,International Trade I , Gene M. Grossman   Stephen J. Redding , The determinants of foreign trade: (1) inter-country differences of factor endowments and technologies and (2) scale economics and imperfect competition are studied. Dynamic comparative advantage; innovation and growth; factor movements and multinational corporations; gains from trade; tariffs and quantitative restrictions on trade and their role in dealing with market failures and oligopolies; the political economy of trade policy; international negotiations on trade policy; and economic integration are studied as well. , ECO 551 ,,4.668,ECO
NULL,International Monetary Theory and Policy I , Staff , This sequence (with ECO 554) develops core models of international finance and open-economy macroeconomics  and surveys selected current research topics in the field. Topics treated in the first semester include: the intertemporal approach to the current account; the determination of real exchange rates  and purchasing power parity; international CAPM and uncovered interest rate parity; sovereign debt crisis; speculative attacks and liquidity crises; international risk sharing and capital flows  home bias  and the stability of the international financial system. , ECO 553 ,,3.2,ECO
NULL,Economic Development I , Thomas Fujiwara   Maria Micaela Sviatschi , An examination of those areas in the economic analysis of development where there have been recent analytical or empirical advances. Emphasis is given to the formulation of theoretical models and econometric analysis and testing. Topics covered include models of household/farm behavior  savings behavior  equity and efficiency in pricing policy  project evaluation  measurement of poverty and inequality  and the analysis of commodity prices. , ECO 562 ,,3.8200000000000003,ECO
NULL,Health Economics I , Janet M. Currie   Tom S. Vogl , Examines health issues in both developed and developing countries. Specific topics include the evolution of health over the life course; the fetal origins hypothesis; the two-way links between socioeconomic status and health; the impact of social safety nets on health outcomes; environmental threats to children's health and development; health insurance and its effects on health; the industrial organization of health care delivery; and the relationship between health and economic growth. , ECO 565 ,,-1,ECO
NULL,Microeconomics Theory Workshop , Can Urgun , Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend. , ECO 581A ,,5.0,ECO
NULL,Industrial Organization Workshop , Nicholas W. Buchholz , Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend. , ECO 581B ,,-1,ECO
NULL,Macroeconomics/International Finance Workshop , Ezra D. Oberfield , Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend. , ECO 581C ,,4.506,ECO
NULL,Labor Economics/Industrial Relations Seminar , Will S. Dobbie , Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend. , ECO 581D ,,4.9,ECO
NULL,Research Program in Development Studies , Thomas Fujiwara   David Silver , Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend. , ECO 581E ,,4.666666666666667,ECO
NULL,Trade Workshop , Gene M. Grossman , Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend. , ECO 581F ,,4.0625,ECO
NULL,Econometric Research Seminar , Michal Kolesár , Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend. , ECO 581G ,,-1,ECO
NULL,Civitas Foundation Finance Seminar , David Schoenherr , Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend. , ECO 581H ,,4.418,ECO
NULL,Behavioral Economics Workshop , Leeat Yariv , Seminar led by different guest professors each week to discuss their current research in the field of Behavioral Economics. , ECO 581J ,,-1,ECO
NULL,Political Economy Workshop , John B. Londregan , Seminar led by different guest professors each week to discuss their current research in the field of Political Economy. Third and fourth year graduate students are expected to attend; first and second year graduate students and faculty members are invited to attend. , ECO 581K ,,-1,ECO
NULL,Turning Points in European Culture , Spyros Papapetros   Eileen A. Reeves , Co-taught by Professors Spyros Papapetros (Architecture) and Eileen Reeves (Comparative Literature)  and drawing on the expertise of distinguished Princeton faculty and visitors  this seminar aims to provide a broad  multidisciplinary perspective on turning points in European culture from the early modern period to the present. It serves as the core course for the Program in European Cultural Studies (ECS) and the Program in Contemporary European Politics and Society (EPS). , ECS 301 EPS 301 , HA ,4.0120000000000005,ECS
NULL,From Black Bile to Digital Depression: Melancholy in Theory  Art  and Media , Thomas A. Trezise , The seminar explores concepts and representations of melancholy in ancient and pre-modern medicine  medieval theology  psychiatry and psychoanalysis  European art since the Romantic era (painting  literature  and film)  critical theory  social media  and ethnography. Course material has been chosen both for contextualization of melancholic (or depressive) condition in the history of European culture and for variety of interpretive approaches. Among major issues to be considered are the human experience of loss and the situation of the person in society. , ECS 311 FRE 316 COM 399 , EC ,-1,ECS
NULL,Life on Earth: Chaos and Clockwork of Biological Design , Joshua Akey   Andrew P. Dobson   Daniel I. Rubenstein   Katherine M. Sullivan , An examination of how life evolved and how organisms function. Design--'intelligent' and otherwise--will provide a unifying theme. Why do some microbes produce slime and others do not? Why are males brightly colored in some species  but in others females are the showy sex? Why do humans have knees that fail whereas horses and zebras do not? These and other 'why is it so' questions related to the origin and history of life  genetic code  biochemistry  physiology  morphology and body plans  sex and reproduction  cooperation  and ecosystems will be explored. This course is required of all EEB majors and fulfills a requirement for medical school. , EEB 211 MOL 211 ,,3.3971428571428572,EEB
NULL,Conservation Biology , David S. Wilcove , Students will learn to identify  understand  and (perhaps) reconcile conflicts between human activities such as farming  forestry  industry  and infrastructure development  and the conservation of species and natural ecosystems. We will also explore the role of biodiversity in providing critical ecosystem services to people. We will examine these topics in an interdisciplinary way  with a primary focus on ecology  but also including consideration of the economic and social factors underlying threats to biodiversity. In fall 2017  the course will include a mandatory field trip to Florida for the duration of fall break. , EEB 308 ,,3.535,EEB
NULL,Evolutionary Biology , Bridgett M. vonHoldt , All life on Earth has  and continues to  evolve. This course will explore evolution within two frameworks: conservation genetics and species interactions. In the first half of the course  we will explore fundamental processes that work together to shape biodiversity and viability  both at the organismal and molecular levels. We then will examine how species interactions can be the driver of change  from sexual selection to predation and pathogens. Overall  this course will provide you with the basic tools to understand how evolution continues to shape contemporary ecological and the phenotypic traits we observe on our planet. , EEB 309 ,,2.1733333333333333,EEB
NULL,Behavioral Ecology , Christina P. Riehl , How does a swarm of honeybees collectively decide on a new site for their hive? When a mother mouse protects her young  are her behaviors genetically determined? Why do ravens share food with each other? This course is an introduction to behavioral ecology  which asks why animals act the way they do  how their behaviors have been shaped by natural selection  and how these behaviors influence their surroundings. We will first discuss behaviors at the individual level  then move to reproductive behaviors. The final section of the course will focus on social evolution  the origins of cooperation  and human behavioral ecology. , EEB 313 ,,4.303333333333334,EEB
NULL,Ecology: Species Interactions  Biodiversity and Society , Robert M. Pringle , How do wild organisms interact with each other  their physical environments  and human societies? Lectures will examine a series of fundamental topics in ecology--herbivory  predation  competition  mutualism  species invasions  biogeographic patterns  extinction  climate change  and conservation  among others--through the lens of case studies drawn from all over the world. Readings will provide background information necessary to contextualize these case studies and clarify the linkages between them. Laboratories and fieldwork will explore the process of translating observations and data into an understanding of how the natural world works. , EEB 321 ,,4.158333333333333,EEB
NULL,Immune Systems: From Molecules to Populations , Andrea L. Graham , How do immune systems work  and why do they work as they do? Why is there so much immunological polymorphism in animal populations? To address these questions  students will examine immunology across multiple biological scales. At the molecular and cellular scales  students will learn mechanisms by which animals recognize and kill parasites. At the population scale  students will investigate causes of the tremendous immunological heterogeneity exhibited by animals. Both the clinical relevance and the evolutionary basis of polymorphisms will be emphasized. , EEB 327 MOL 327 GHP 327 ,,4.236666666666667,EEB
NULL,Sensory Ecology , Mary C. Stoddard , Sensory ecology investigates how animals extract information from the physical and social environment. All animals acquire and use information  but the sensory systems involved vary dramatically. Bats echolocate. Birds see ultraviolet colors. Electric eels shock their prey. Spiders communicate chemically. How do these processes work  and why did they evolve? In this course  we explore the mechanisms and functions of animal communication. We first review the different senses  emphasizing physiology and neurobiology. We then examine how animals use sensory information in foraging  mate choice  cooperation  anti-predator defense and mimicry. , EEB 329 ,,4.386666666666667,EEB
NULL,Understanding the Evolution of Adaptive Systems: From Sex to Ebola , Julien F. Ayroles , Nature is rife with extraordinary variation in form and function: from bird feathers to the shape of mice sperm or the intriguing immunity of ticks. Recent advances have brought an unprecedented level of resolution to our understanding of how changes in allele frequency generate phenotypic change. We can now study how mutations shape an organism's variation by changing coding sequences  or determining the regulatory information that may change when  where and how a gene is expressed. Topics will stretch across time and scales  from past events that have shaped biological diversity to rapid evolution in experimental evolutionary studies. , EEB 409 ,,-1,EEB
NULL,Fundamental Concepts in Ecology  Evolution  and Behavior I , Peter Andolfatto   Julien F. Ayroles   Andrea L. Graham   Lindy McBride   C. Jessica E. Metcalf   Stephen W. Pacala   Christina P. Riehl   Corina E. Tarnita   David S. Wilcove , Advanced discussions of ecology  evolution  and behavior focus on 50 fundamental papers. Ecological topics include dynamics and structure of populations  communities  ecosystems  and conservation biology. Behavioral topics include instinct and learning  social behavior  physiological ecology  and the evolution of behavior. Evolutionary topics include speciation  evolutionary and quantitative genetics  molecular evolution  evolutionary stable strategies  and evolution of development. (These are core courses) , EEB 502 ,,-1,EEB
NULL,Recent Research in Population Biology , Staff , Systematic reviews of recent literature in areas of ecology  evolution  and animal behavior. The general survey of literature is supplemented with detailed discussion of selected research papers of unusual importance and significance. (This is a core course.) , EEB 507 ,,4.183999999999999,EEB
NULL,Colloquium on the Biology of Populations , Staff , Discussion of the central problems of population biology and approaches that have proved fruitful. Topics ranging throughout ecology  evolution  biogeography  and population genetics are usually related to presentations by visiting speakers and students. (This is a core course.) , EEB 522 ,,4.544,EEB
NULL,Foundations of Engineering: Mechanics  Energy  and Waves , Claire F. Gmachl , This course covers mechanics  energy  waves  and introductory thermodynamics within the framework of understanding and developing engineering solutions to grand global challenges; i.e. the focus is on the role an engineer plays in responding to grand challenges and the physics foundations that are at their disposal. A full-length laboratory comprises projects designed especially for the engineering-minded student  focusing on design and building  problem solving  and entrepreneurship. This course can be used to satisfy BSE freshman year requirements. , EGR 151 ,,-1,EGR
NULL,Foundations of Engineering: The Mathematics of Shape and Motion , William A. Massey , This is an introductory course for single variable calculus. The material will be presented in a manner that shows how calculus combined with analytic geometry is the language of expression for quantitative ideas in science  technology  engineering  and mathematics itself. We will cover differential and integral calculus  series and sequences  as well as Taylor series to discuss topics such as information and probability  the physics of planetary motion and statistical mechanics  and development of computational algorithms. This course can be used to satisfy BSE freshman year requirements. , EGR 152 , QR ,-1,EGR
NULL,An Integrated Introduction to Engineering  Mathematics  Physics , James D. Olsen , Taken concurrently with EGR/MAT/PHY 192  this course offers an integrated presentation of the material from PHY 103 (General Physics: Mechanics and Thermodynamics) and MAT 201 (Multivariable Calculus) with an emphasis on applications to engineering. Physics topics include: mechanics with applications to fluid mechanics; wave phenomena; and thermodynamics. , EGR 191 MAT 191 PHY 191 ,,3.8485714285714283,EGR
NULL,An Integrated Introduction to Engineering  Mathematics  Physics , Christine J. Taylor , Taken concurrently with EGR/MAT/PHY 191  this course offers an integrated presentation of the material from PHY 103 (General Physics: Mechanics and Thermodynamics) and MAT 201 (Multivariable Calculus) with an emphasis on applications to engineering. Math topics include: vector calculus; partial derivatives and matrices; line integrals; simple differential equations; surface and volume integrals; and Green's  Stokes'  and divergence theorems. , EGR 192 MAT 192 PHY 192 APC 192 , QR ,3.31,EGR
NULL,Creativity  Innovation  and Design , Sheila V. Pontis   Rafe H. Steinhauer , The class mission is to give students an understanding of the sources and processes associated with creativity  innovation  and design - three interdependent capabilities essential to our own well being  as well as to the well being of society. We will study the internal and external factors that relate to our own ability to create  innovate  and design. We will also understand the factors that impact a group's ability to act creatively  to innovate  and to produce practical and appealing designs. The class will consist of readings and case studies as well as individual and group projects. , EGR 200 ENT 201 ,,3.9766666666666666,EGR
NULL,Foundations of Entrepreneurship , Rakefet S. Kasdin , Entrepreneurship is about creating value for the benefit of others. It is about innovating  marshalling limited resources  inspiring teams  and persisting through challenges and uncertainty  often by trying  learning from what happens  and trying something better. EGR 201 is designed to equip each student with the approaches and concepts of entrepreneurship and how to apply them to achieve positive change in whatever endeavors they choose to pursue. The course employs several experiential methods of teaching and learning so students will understand how they can follow an entrepreneurial path in organizations and in life. , EGR 201 ENT 200 ,,3.844,EGR
NULL,Engineering Projects in Community Service (EPICS): Non-credit , Jay B. Benziger   Dan Leyzberg   Michael G. Littman , In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community. , EGR 250 ,,4.038333333333333,EGR
NULL,Engineering Projects in Community Service (EPICS) , Jay B. Benziger   Dan Leyzberg   Michael G. Littman , In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of freshmen through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community. , EGR 251 ,,3.3333333333333335,EGR
NULL,Engineering Projects in Community Service (EPICS): Non-credit , Jay B. Benziger   Dan Leyzberg   Michael G. Littman , In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community. , EGR 350 ,,3.898333333333333,EGR
NULL,Engineering Projects in Community Service (EPICS) , Jay B. Benziger   Dan Leyzberg   Michael G. Littman , In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community. , EGR 351 ,,4.118333333333333,EGR
NULL,Ethnography and Wicked Problems , Kenneth T. Anderson ," This course introduces students to approach problems ethnographically and develop service solutions. Security/privacy will be the problem space for the course. The course will cover multiple modes of ethnography  ""inventive methods"" that explore the intersection of design and interpretive social science. The course will provide a tool set for students interested in entrepreneurship  design thinking  as well as  new types of outcomes for research for those in the social sciences  and finally  a human-centered view on security. ", EGR 385 ANT 385 ,,-1,EGR
NULL,Engineering Projects in Community Service (EPICS): Non-credit , Jay B. Benziger   Dan Leyzberg   Michael G. Littman , In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community. , EGR 450 ,,3.6999999999999993,EGR
NULL,Engineering Projects in Community Service (EPICS) , Jay B. Benziger   Dan Leyzberg   Michael G. Littman , In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community. , EGR 451 ,,3.8216666666666668,EGR
NULL,Building and Operating Complex and Regulated Ventures , Shahram Hejazi , Starting and operating a complex venture in a regulated market is often faced with tremendous challenges in developing and validating the idea to attract investors and industry partners. With an initial perspective of what it takes to attract funding  the course will focus on teaching three main skills 1) What makes a complex business initially fundable through private and public resources  2) Identifying the problem and validating the solution in a regulated  multi-stakeholder market 3) Launching the business and developing the operational plan post launch. , EGR 475 ,,-1,EGR
NULL,Designing Ventures To Change the World , John D. Danner , This course offers an interdisciplinary  hands-on  immersive opportunity to design services  technologies  products and ventures addressing the UN's 17 new Sustainable Development Goals (SDGs) through a diverse portfolio of high-impact solo and team-based projects. Our course will weave together three strands of analysis and action: in-classroom exposure to entrepreneurship/social venture development and exploration of selected SDGs  plus a weekly design clinic to give students a chance to develop their own venture and solution ideas. , EGR 488 ,,4.316666666666666,EGR
NULL,High-Tech Entrepreneurship , Christopher B. Kuenne ," This hands-on course introduces students to analysis and actions required to launch and commercialize a tech company  through the use of Harvard Business School cases  visits from entrepreneurs  and two ""field assignments"". You will learn conceptual frameworks and analytical techniques for evaluating technologies  markets  and commercialization strategies. Additionally  you will learn how to attract and motivate the resources needed to start a company (e.g. people  corporate partners and venture capital)  prepare business plans  structure relationships  refine product-market fit  and create and grow enterprise value. ", EGR 491 ELE 491 ,,4.54,EGR
NULL,Leadership Development for Business , Dennis F. Strigl , The Leadership Development for Business course deals with the strategic  organizational and leadership challenges that global corporations face. The course provides students with a unique perspective on leadership vision  and how leaders recognize and capitalize on opportunities. We will focus on how leaders achieve results and make things happen working with and through others. This course presents innovative  practical and field tested methods used by successful business leaders to achieve sustained results. Classes will consist of a mix of classroom lecture  case study discussions and guest speakers. , EGR 494 ,,4.523999999999999,EGR
NULL,Entrepreneurial Leadership , Derek B. Lidow ," The mission of the class is to enable students to successfully create and lead enterprises by teaching the basic skills required to be a successful entrepreneurial leader. This class compliments EGR 491 ""High Tech Entrepreneurship"" which focuses on 'giving birth to a company'  by focusing instead on enterprise 'early child rearing'. The basic skills taught fall into three major categories: how to create and manage powerful relationships  how to know and manage yourself  in addition to understanding how organizations work as they evolve from the idea stage to become value producing  self-sustaining enterprises. ", EGR 497 ,,3.778,EGR
NULL,Contemporary Logic Design , Sharad Malik , Introduction to the basic concepts in logic design that form the basis of computation and communication circuits. Logic gates and memeory elements. Timing methodologies. Finite state systems. Programmable logic. Basic computer organization. , ELE 206 COS 306 ,,3.495714285714286,ELE
NULL,Electronic and Photonic Devices , Nathalie P. de Leon , Introduction to semiconductor devices centered around modern devices and technologies. Explores the physical basis of complex technologies from the perspective of solid state physics  electricity and magnetism  statistical mechanics  and quantum mechanics. Applications to be discussed include lighting  displays  computing  energy harvesting  sensing and imaging. Laboratory: fundamentals of micro- and nano-fabrication  fabrication of integrated circuits and optoelectronic devices. , ELE 208 ,,3.625,ELE
NULL,Sophomore Independent Work , Staff , Provides an opportunity for a student to concentrate on a state-of-the-art project in electrical engineering. Topics may be selected from suggestions by faculty members or proposed by the students. The final choice must be approved by the faculty advisor. There is no formal reading list; however  a literature search is a normal part of most projects. , ELE 297 ,,4.484,ELE
NULL,Designing Real Systems , Gerard Wysocki , This course focuses on the science  engineering  and design of the highly integrated systems that dominate many of today's devices. Analysis of systems  sub-systems  and basic principles will be covered  with an emphasis on hardware-software optimization  sampling and digitization  signal and noise  feedback and control  and communication. , ELE 301 ,,3.466666666666667,ELE
NULL,Solid-State Devices , Antoine Kahn , The physics and technology of solid state devices. Review of electronic structure of semiconductors  energy bands and doping  followed by discussion of carrier transport by drift and diffusion and recombination/generation. Detailed analysis of p-n junctions  bipolar transistors and field effect transistors. Survey of a wide range of devices  including photodetectors  solar cells  light-emitting diodes and semiconductor lasers  highlighting contemporary concepts such as thin film electronics and 2D semiconductors. , ELE 341 ,,4.029999999999999,ELE
NULL,Machine Learning for Predictive Data Analytics , Niraj K. Jha , Machine learning for predictive data analytics; data to insight to decisions; data exploration; information-based learning; similarity-based learning; probability-based learning; error-based learning; evaluation; case studies. , ELE 364 ,,-1,ELE
