LEGEND,NAME,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
,Colleen Wing (Earth-616),Good Characters,Blue Eyes,Auburn Hair,Female Characters,Living Characters,175,Nov-74,1974
,Irma Cuckoo (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,175,1-Nov,2001
,Sebastian Shaw (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,174,Jan-80,1980
,Phoebe Cuckoo (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,174,1-Nov,2001
,Sage (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,172,Apr-80,1980
,Valeria Richards (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,171,2-Feb,2002
,Donald Blake (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,170,Aug-62,1962
,Hela (Earth-616),Bad Characters,Green Eyes,Black Hair,Female Characters,Deceased Characters,170,Mar-64,1964
,Lilandra Neramani (Earth-616),Good Characters,Orange Eyes,Black Hair,Female Characters,Deceased Characters,170,Feb-76,1976
,Henry Gyrich (Earth-616),Bad Characters,Green Eyes,Red Hair,Male Characters,Living Characters,170,Nov-77,1977
,Dwayne Taylor (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,169,Dec-89,1989
,Harold Hogan (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,166,Sep-63,1963
,Redwing (Earth-616),,Yellow Eyes,,Male Characters,Living Characters,165,Sep-69,1969
,Christopher Powell (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,165,Mar-91,1991
,Harvey Elder (Earth-616),Bad Characters,Brown Eyes,Grey Hair,Male Characters,Living Characters,164,Nov-61,1961
,Wolfgang von Strucker (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,164,Jan-64,1964
,Dirk Garthwaite (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,164,Jan-68,1968
,Pip Gofern (Earth-616),Good Characters,Green Eyes,Red Hair,Male Characters,Living Characters,163,Apr-75,1975
,Tony Masters (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,163,May-80,1980
,David Lieberman (Earth-616),Neutral Characters,Green Eyes,Brown Hair,Male Characters,Deceased Characters,163,Nov-87,1987
,James Hudson (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,161,Feb-78,1978
,Miles Warren (Earth-616),Bad Characters,Green Eyes,No Hair,Male Characters,Living Characters,160,Dec-65,1965
,Kallark (Earth-616),Neutral Characters,Blue Eyes,Blue Hair,Male Characters,Living Characters,160,Oct-77,1977
,En Sabah Nur (Earth-616),Bad Characters,Red Eyes,Black Hair,Male Characters,Deceased Characters,160,Jun-86,1986
,Shiro Yoshida (Earth-616),Good Characters,Black Eyes,Black Hair,Male Characters,Living Characters,158,Jan-70,1970
,Silver Sablinova (Earth-616),Good Characters,Blue Eyes,Silver Hair,Female Characters,Deceased Characters,158,Jun-85,1985
,Elvin Haliday (Earth-616),Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,158,Nov-90,1990
,James Bradley (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,158,,
,Calvin Zabo (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,157,Dec-63,1963
,Frederick Myers (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,157,Jul-66,1966
,Mantis (Earth-616),Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters,156,Jun-73,1973
,Marlene Alraune (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,156,Jun-76,1976
,Rachel Leighton (Earth-616),Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,156,Oct-85,1985
,Veranke (Earth-616),Bad Characters,Green Eyes,Green Hair,Female Characters,Deceased Characters,156,5-Jan,2005
,Nathaniel Essex (Earth-616),Bad Characters,Red Eyes,Black Hair,Male Characters,Living Characters,155,Sep-87,1987
,Anthony Druid (Earth-616),Good Characters,Green Eyes,Black Hair,Male Characters,Deceased Characters,153,Jun-61,1961
,Cassandra Lang (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,153,Apr-79,1979
,Beta Ray Bill (Earth-616),Good Characters,White Eyes,No Hair,Male Characters,Living Characters,153,Nov-83,1983
,Samuel Sterns (Earth-616),Bad Characters,Red Eyes,Black Hair,Male Characters,Deceased Characters,152,Dec-64,1964
,Leech (Earth-616),Good Characters,White Eyes,No Hair,Male Characters,Living Characters,152,Mar-84,1984
,Glenn Talbot (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,151,Nov-64,1964
,Bug (Earth-616),Good Characters,Yellow Eyes,Green Hair,Male Characters,Living Characters,151,Jan-79,1979
,Peter Petruski (Earth-616),Bad Characters,Brown Eyes,Bald,Male Characters,Living Characters,150,Jan-63,1963
,Julie Power (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,150,Aug-84,1984
,Giuletta Nefaria (Earth-616),Bad Characters,Grey Eyes,Black Hair,Female Characters,Living Characters,149,Jan-68,1968
,Robert Ralston (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,148,May-63,1963
,Maximus (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,147,Feb-66,1966
,Genis-Vell (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,147,Oct-93,1993
,Hisako Ichiki (Earth-616),Good Characters,Black Eyes,Black Hair,Female Characters,Living Characters,147,4-Oct,2004
,Dmitri Smerdyakov (Earth-616),Bad Characters,Variable Eyes,Variable Hair,Male Characters,Living Characters,146,Mar-63,1963
,Eliot Franklin (Thunderball) (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,146,Nov-74,1974
,X-51 (Earth-616),Good Characters,Red Eyes,Black Hair,Male Characters,Living Characters,146,Jul-77,1977
,Madelyne Pryor (Earth-616),Bad Characters,Green Eyes,Red Hair,Female Characters,Living Characters,146,Apr-83,1983
,Adolf Hitler (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,145,Sep-40,1940
,Herman Schultz (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,145,Mar-67,1967
,Noriko Ashida (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,145,4-Jan,2004
,Chen Lu (Earth-616),Bad Characters,Brown Eyes,Bald,Male Characters,Living Characters,144,Jun-63,1963
,Ulysses Klaw (Earth-616),Bad Characters,Red Eyes,Bald,Male Characters,Deceased Characters,143,Aug-66,1966
,Cessily Kincaid (Earth-616),Good Characters,Silver Eyes,Red Hair,Female Characters,Living Characters,143,3-Aug,2003
,Kyle Gibney (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,142,Aug-83,1983
,Jack Monroe (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,141,Dec-53,1953
,Madeline Joyce (Earth-616),Good Characters,Blue Eyes,Brown Hair,Female Characters,Deceased Characters,140,Nov-43,1943
,George Tarleton (Earth-616),Bad Characters,White Eyes,Brown Hair,Male Characters,Living Characters,140,Sep-67,1967
,Jocasta (Earth-616),Good Characters,Red Eyes,No Hair,Female Characters,Living Characters,140,Aug-77,1977
,Peter Wisdom (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,140,Feb-95,1995
,Jeffrey Mace (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,139,Dec-40,1940
,Aquaria Neptunia (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,139,May-47,1947
,Dragon Man (Earth-616),Good Characters,Grey Eyes,No Hair,Male Characters,Living Characters,139,Feb-65,1965
,Narya (Earth-616),Good Characters,White Eyes,Blond Hair,Female Characters,Living Characters,138,Apr-79,1979
,Burglar (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,137,Aug-62,1962
,Dino Manelli (Earth-616),Good Characters,,Black Hair,Male Characters,Deceased Characters,137,May-63,1963
,Peter Parker (Kaine) (Earth-616),Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,137,Dec-94,1994
,Nightmare (Earth-616),Bad Characters,Black Eyes,Black Hair,Male Characters,Living Characters,136,Jul-63,1963
,Ronan (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,136,Aug-67,1967
,Thomas Halloway (Earth-616),Good Characters,Brown Eyes,White Hair,Male Characters,Living Characters,135,Oct-39,1939
,Jasper Sitwell (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,134,May-66,1966
,Frank Payne (Earth-616),Neutral Characters,,Bald,Male Characters,Living Characters,134,Jun-77,1977
,Paladin (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,134,Jan-78,1978
,Steel (Earth-616),Good Characters,,White Hair,Male Characters,Living Characters,134,,
,Mad Thinker (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,133,Jun-63,1963
,Brian Calusky (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,133,Nov-74,1974
,Arthur Maddicks (Earth-616),Good Characters,White Eyes,No Hair,Male Characters,Living Characters,133,Mar-86,1986
,Hedy Wolfe (Earth-616),,Hazel Eyes,Black Hair,Female Characters,Living Characters,132,Nov-44,1944
,Isadore Cohen (Earth-616),Good Characters,,,Male Characters,Living Characters,132,May-63,1963
,Dormammu (Earth-616),Bad Characters,Yellow Eyes,No Hair,Male Characters,Living Characters,132,Nov-64,1964
,Makkari (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Living Characters,131,Aug-40,1940
,Marlo Chandler (Earth-616),Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,131,Sep-88,1988
,Percival Pinkerton (Earth-616),Good Characters,Brown Eyes,Grey Hair,Male Characters,Deceased Characters,130,Jul-64,1964
,Quintavius Quire (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,130,3-Jan,2003
,Marla Madison (Earth-616),,Brown Eyes,Brown Hair,Female Characters,Deceased Characters,129,Nov-76,1976
,Cletus Kasady (Earth-616),Bad Characters,Green Eyes,No Hair,Male Characters,Living Characters,129,Feb-91,1991
,Supreme Intelligence (Earth-616),Neutral Characters,Yellow Eyes,Green Hair,Male Characters,Living Characters,128,Aug-67,1967
,Aragorn (Earth-616),Good Characters,Brown Eyes,White Hair,Male Characters,Living Characters,128,Jan-68,1968
,Betty Dean (Earth-616),Good Characters,Blue Eyes,White Hair,Female Characters,Deceased Characters,127,Jan-40,1940
,Karnilla (Earth-616),Neutral Characters,Purple Eyes,Black Hair,Female Characters,Living Characters,127,Aug-64,1964
,Jacqueline Falsworth (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,127,Jul-76,1976
,Caliban (Earth-616),Good Characters,Black Eyes,No Hair,Male Characters,Deceased Characters,127,Aug-81,1981
,Isaac Christians (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,127,Apr-81,1981
,Brock Rumlow (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,126,Oct-89,1989
,Paul Norbert Ebersol (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,125,Feb-66,1966
,Annihilus (Earth-616),Neutral Characters,Green Eyes,No Hair,Male Characters,Living Characters,125,Nov-68,1968
,Red Sonja (Earth-616),Good Characters,Brown Eyes,Red Hair,Female Characters,Deceased Characters,125,Feb-73,1973
,Jonathan Hart (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,125,Mar-76,1976
,Bambina Arbogast (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,125,Jan-79,1979
,Sooraya Qadir (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,125,2-Dec,2002
,Zeus Panhellenios (Earth-616),Neutral Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,124,Jun-49,1949
,Randolph Robertson (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,124,Dec-68,1968
,Yao (Earth-616),Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,122,Jun-61,1961
,Agatha Harkness (Earth-616),Good Characters,Blue Eyes,White Hair,Female Characters,Deceased Characters,122,Jan-70,1970
,Jack Tarr (Earth-616),,Black Eyes,Black Hair,Male Characters,Living Characters,122,Apr-74,1974
,Katherine Bishop (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,122,5-Apr,2005
,Jason Wyngarde (Earth-616),Bad Characters,Brown Eyes,Grey Hair,Male Characters,Deceased Characters,121,Mar-64,1964
,Walter Newell (Earth-616),Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,121,Sep-67,1967
,Joanna Cargill (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,121,May-86,1986
,Parker Robbins (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,121,2-Jul,2002
,Rocket Raccoon (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,120,Jun-76,1976
,Lyja (Earth-616),Neutral Characters,Green Eyes,Green Hair,Female Characters,Living Characters,120,Apr-84,1984
,Georges Batroc (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,119,Mar-66,1966
,Wyatt Wingfoot (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,119,May-66,1966
,Henry Camp (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,119,Nov-74,1974
,Peter Quill (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,119,Jan-76,1976
,Marrow (Sarah) (Earth-616),Neutral Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,119,Sep-94,1994
,Vision (Jonas) (Earth-616),Good Characters,Gold Eyes,No Hair,Male Characters,Deceased Characters,119,5-Aug,2005
,William Kaplan (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,119,5-Apr,2005
,George Stacy (Earth-616),Good Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters,118,Jan-68,1968
,Mari (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,118,Jan-79,1979
,Todd Arliss (Earth-616),Bad Characters,Grey Eyes,No Hair,Male Characters,Living Characters,116,Sep-68,1968
,Hammerhead (Joseph) (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,116,Oct-72,1972
,Heinrich Zemo (Earth-616),Bad Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,115,Mar-64,1964
,Emil Blonsky (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,115,Apr-67,1967
,Arcturus Rann (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,115,Jan-79,1979
,James Woo (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,114,Oct-56,1956
,Frank Drake (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,114,Apr-72,1972
,Callisto (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,114,May-83,1983
,Dorma (Earth-616),Neutral Characters,Blue Eyes,Auburn Hair,Female Characters,Deceased Characters,113,Oct-39,1939
,Lonnie Lincoln (Earth-616),Bad Characters,Pink Eyes,White Hair,Male Characters,Living Characters,113,Mar-88,1988
,Doop (Earth-616),Good Characters,Variable Eyes,Black Hair,Male Characters,Living Characters,113,1-Jul,2001
,David Alleyne (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,113,3-Oct,2003
,Hepzibah (Earth-616),Good Characters,Green Eyes,White Hair,Female Characters,Living Characters,112,Oct-77,1977
,Charlie Cluster-7 (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,112,2-Aug,2002
,Samuel Sawyer (Earth-616),Good Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,111,May-63,1963
,Jacques Duquesne (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,111,Aug-65,1965
,Arcade (Earth-616),Bad Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,111,Jan-78,1978
,Mary Walker (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,111,May-88,1988
,Miguel Santos (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,111,Oct-90,1990
,Christopher Summers (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,110,Apr-77,1977
,Morris Bench (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,110,Jan-81,1981
,David Cannon (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,109,Dec-63,1963
,Prosh (Earth-616),Good Characters,Variable Eyes,No Hair,,Living Characters,109,Jan-88,1988
,Roderick Kingsley (Earth-616),Bad Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,108,Jun-80,1980
,Dominikos Petrakis (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,108,Jan-81,1981
,St. John Allerdyce (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,108,Jan-81,1981
,Mary MacPherran (Earth-616),Bad Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,108,Jul-84,1984
,Rita Wayword (Earth-616),Neutral Characters,White Eyes,Silver Hair,Female Characters,Living Characters,108,Sep-85,1985
,Angelo Espinosa (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,108,Oct-94,1994
,Layla Miller (Earth-616),Good Characters,Green Eyes,Blond Hair,Female Characters,Living Characters,108,5-Sep,2005
,Leland Owlsley (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,107,Aug-64,1964
,Karl Lykos (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,107,Aug-69,1969
,Jason Macendale Jr. (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,107,Feb-81,1981
,Clay Harder (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,106,Mar-48,1948
,Frigga (Earth-616),Good Characters,Blue Eyes,White Hair,Female Characters,Living Characters,106,May-63,1963
,Ikaris (Eternal) (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,106,Jul-76,1976
,Jack Power (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,106,Aug-84,1984
,Katherine Power (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,106,Aug-84,1984
,Sharon Ventura (Earth-616),Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,105,Sep-85,1985
,Nico Minoru (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,105,3-Jul,2003
,Clive Reston (Earth-616),,Blue Eyes,Grey Hair,Male Characters,Living Characters,104,Mar-75,1975
,Idie Okonkwo (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,104,10-Nov,2010
,Robert Frank (Earth-616),Good Characters,Brown Eyes,Grey Hair,Male Characters,Deceased Characters,103,Aug-41,1941
,Elizabeth Twoyoungmen (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,103,Dec-83,1983
,Everett Thomas (Earth-616),Good Characters,Brown Eyes,Bald,Male Characters,Deceased Characters,103,Sep-94,1994
,Danger (Earth-616),Good Characters,,No Hair,Female Characters,Living Characters,103,5-Mar,2005
,Dorrek VIII (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,103,5-Apr,2005
,Amadeus Cho (Earth-616),Good Characters,Black Eyes,Black Hair,Male Characters,Living Characters,103,6-Jan,2006
,Phillip Masters (Earth-616),Bad Characters,Brown Eyes,Bald,Male Characters,Deceased Characters,102,Nov-62,1962
,Joshua Foley (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,101,3-Nov,2003
,Karl Mordo (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,100,Aug-63,1963
,Eternity (Earth-616),Neutral Characters,Black Eyes,No Hair,,Living Characters,100,Nov-65,1965
,William Foster (Earth-616),,Brown Eyes,Black Hair,Male Characters,Deceased Characters,100,Sep-66,1966
,Leiko Wu (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,100,Oct-75,1975
,Chase Stein (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,100,3-Jul,2003
,Howard Hanover (Earth-616),,,Black Hair,Male Characters,Living Characters,100,,
,Louise Grant (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,99,Sep-46,1946
,Grand Vizier (Asgard) (Earth-616),Good Characters,,White Hair,Male Characters,Living Characters,99,Sep-65,1965
,Pyreus Kril (Earth-616),Neutral Characters,White Eyes,Yellow Hair,Male Characters,Living Characters,99,Jul-74,1974
,Acroyear (Earth-616),Good Characters,Grey Eyes,No Hair,Male Characters,Living Characters,99,Jan-79,1979
,Yuriko Oyama (Earth-616),Bad Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,99,Aug-83,1983
,Elijah Bradley (Earth-616),Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,99,5-Apr,2005
,Frankie Raye (Earth-616),Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,98,Nov-75,1975
,Jimaine Szardos (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,98,Apr-76,1976
,Bethany Cabe (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,98,Dec-78,1978
,Phillip Urich (Earth-616),Bad Characters,Green Eyes,Brown Hair,Male Characters,Living Characters,98,Jun-95,1995
,Delroy Garrett Jr. (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,98,Sep-98,1998
,Anya Corazon (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,98,4-Aug,2004
,Victoria Hand (Earth-616),Neutral Characters,Hazel Eyes,Black Hair,Female Characters,Deceased Characters,98,9-Feb,2009
,Margaret Carter (Earth-616),Good Characters,Blue Eyes,White Hair,Female Characters,Deceased Characters,97,Mar-66,1966
,Clay Quartermain (Earth-616),,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,97,Dec-67,1967
,Ghost (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,97,Jun-87,1987
,Jill Stacy (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,97,Jan-97,1997
,Abigail Brand (Earth-616),Good Characters,Green Eyes,Green Hair,Female Characters,Living Characters,97,4-Sep,2004
,Carlie Cooper (Earth-616),Good Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,97,8-Jan,2008
,Paul Duval (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,96,Aug-64,1964
,Blastaar (Earth-616),Bad Characters,Grey Eyes,Grey Hair,Male Characters,Living Characters,96,May-67,1967
,Jericho Drumm (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,96,Sep-73,1973
,Ruth Aldine (Earth-616),Good Characters,,Black Hair,Female Characters,Living Characters,96,5-Jan,2005
,Azura (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,95,Aug-40,1940
,Cyclone (Horse) (Earth-616),Good Characters,,,Male Characters,Living Characters,95,Mar-48,1948
,Matthew Masters (Earth-616),Good Characters,,Black Hair,Male Characters,Living Characters,95,Dec-48,1948
,Luna Maximoff (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,95,Mar-82,1982
,Silhouette Chord (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,95,Aug-90,1990
,Attuma (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,94,Dec-64,1964
,Sally Blevins (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,94,Aug-86,1986
,James Sanders (Earth-616),Neutral Characters,Brown Eyes,Blond Hair,Male Characters,Living Characters,93,Oct-69,1969
,Denis Nayland Smith (Earth-616),Good Characters,,Bald,Male Characters,Deceased Characters,93,Dec-73,1973
,Andreas von Strucker (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,93,Jun-85,1985
,Patricia Tilby (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,93,Aug-86,1986
,Michael Collins (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,93,Jul-90,1990
,Groot (Earth-616),Good Characters,Black Eyes,No Hair,Male Characters,Living Characters,92,Nov-60,1960
,Vashti Cleito-Son (Earth-616),Good Characters,,White Hair,Male Characters,Living Characters,92,Sep-65,1965
,Eric Williams (Earth-616),Bad Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,92,May-68,1968
,Gaea (Earth-616),Good Characters,,,Female Characters,Living Characters,92,Feb-75,1975
,Raza Longknife (Earth-616),Neutral Characters,One Eye,Orange Hair,Male Characters,Living Characters,92,Oct-77,1977
,Rom (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,92,Dec-79,1979
,Selene Gallio (Earth-616),Bad Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,92,Nov-83,1983
,Norman Harold Osborn (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,92,Apr-85,1985
,Michiko Musashi (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,92,Oct-92,1992
,Skaar (Earth-616),Good Characters,Green Eyes,Black Hair,Male Characters,Living Characters,92,8-Jan,2008
,Ulik (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,91,Feb-67,1967
,Roxanne Simpson (Earth-616),Good Characters,,,Female Characters,Deceased Characters,91,Aug-72,1972
,Sinthea Shmidt (Earth-616),Bad Characters,Brown Eyes,No Hair,Female Characters,Living Characters,91,Feb-84,1984
,George Washington Bridge (Earth-616),Good Characters,Brown Eyes,White Hair,Male Characters,Deceased Characters,91,Aug-91,1991
,Molly Hayes (Earth-616),Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,90,3-Jul,2003
,Klaus Voorhees (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters,89,Nov-63,1963
,Vanisher (Earth-616),Neutral Characters,Green Eyes,Bald,Male Characters,Living Characters,89,Nov-63,1963
,Skurge (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,88,Apr-64,1964
,Arthur Parks (Earth-616),Bad Characters,Variable Eyes,Variable Hair,Male Characters,Living Characters,88,Nov-66,1966
,Bernadette Rosenthal (Earth-616),,Green Eyes,Auburn Hair,Female Characters,Living Characters,88,Jul-80,1980
,Nathan Lubensky (Earth-616),Good Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters,87,Oct-80,1980
,David Haller (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,87,Mar-85,1985
